label,message
ham,"Hey are you coming to the meeting today?"
ham,"Can you pick up some groceries on your way home?"
ham,"I'll be there in 10 minutes"
ham,"Happy birthday! Hope you have a wonderful day"
ham,"The project deadline has been extended to Friday"
ham,"Let's catch up over coffee this weekend"
ham,"Please find the attached report for your review"
ham,"Thanks for your help with the presentation"
ham,"Don't forget to bring your laptop tomorrow"
ham,"The meeting has been rescheduled to 3 PM"
ham,"I just finished reading that book you recommended"
ham,"Can we discuss the budget proposal tomorrow?"
ham,"Your order has been shipped and will arrive Monday"
ham,"Great job on the quarterly review presentation"
ham,"Are you available for a quick call this afternoon?"
ham,"I'll send you the updated spreadsheet by EOD"
ham,"Let me know if you need any help with the assignment"
ham,"The team lunch is scheduled for next Wednesday"
ham,"Please confirm your attendance for the conference"
ham,"I've updated the shared document with my comments"
ham,"Would you like to join us for dinner tonight?"
ham,"The new software update is now available"
ham,"Can you review the pull request I submitted?"
ham,"I appreciate your feedback on my proposal"
ham,"Looking forward to seeing you at the event"
ham,"The weather looks great for our hike this weekend"
ham,"I submitted the expense report for last month's trip"
ham,"Could you send me the notes from yesterday's lecture?"
ham,"Mom called and asked if you're coming home for the holidays"
ham,"The doctor's appointment is confirmed for Thursday at 2 PM"
ham,"I found a great restaurant for our anniversary dinner"
ham,"Please water the plants while I'm away"
ham,"The kids had a great time at the birthday party"
ham,"I'll pick you up from the airport at 6 PM"
ham,"Let's schedule a brainstorming session for the new project"
ham,"The plumber is coming tomorrow morning between 9 and 11"
ham,"Can you proofread my essay before I submit it?"
ham,"The grocery store has a sale on organic produce this week"
ham,"I registered us for the charity run next month"
ham,"Your prescription is ready for pickup at the pharmacy"
spam,"Congratulations! You've won a 1000 dollar gift card! Click here to claim now"
spam,"URGENT: Your account has been compromised. Verify your identity immediately"
spam,"FREE entry in a weekly competition to win an iPad. Text WIN to 80085"
spam,"You have been selected for a cash prize of 5000 dollars! Call now to claim"
spam,"Get rich quick! Make 10000 dollars per week working from home"
spam,"WINNER!! You've been selected to receive a free cruise vacation"
spam,"Lose 20 pounds in just 2 weeks with this miracle pill! Order now"
spam,"Your loan has been approved! No credit check required. Apply today"
spam,"Act now! Limited time offer - 90 percent off on all luxury watches"
spam,"You are a winner! Text YES to 12345 to claim your free prize"
spam,"Make money fast! Secret investment opportunity revealed. Click here"
spam,"URGENT: You've won a lottery prize of one million dollars. Send your details now"
spam,"Free ringtones! Download unlimited ringtones at no cost. Click now"
spam,"Hot singles in your area are waiting to meet you! Sign up free"
spam,"Exclusive deal: Buy one get three free! Limited stock available"
spam,"Your email has won you 500000 dollars in the international lottery"
spam,"Double your income guaranteed! Work from home and earn thousands"
spam,"Credit card alert: You're pre-approved for 25000 dollars. No fees. Apply now"
spam,"Congratulations! You've been chosen for a special promotional offer"
spam,"FREE MSG: Your mobile number has won a prize worth 2000 dollars. Claim now"
spam,"Want to lose weight fast? Try our new diet supplement risk-free"
spam,"You have 1 unread message from a secret admirer. Click to reveal"
spam,"Earn 500 dollars daily just by completing simple online surveys!"
spam,"ALERT: Suspicious activity detected on your bank account. Click to verify"
spam,"Get a free iPhone 15! Just complete a short survey. Limited offer"
spam,"Click here for exclusive access to premium content. Free registration"
spam,"Bank of America: Your account needs immediate verification. Click link"
spam,"You've been pre-selected for an exclusive credit offer. Zero APR guaranteed"
spam,"Congratulations! Your phone number won 50000 dollars in our draw. Reply YES"
spam,"Make 3000 dollars per day with this simple trading bot. No experience needed"
spam,"WARNING: Your computer has been infected! Download our antivirus NOW"
spam,"Get cheap prescription medications delivered to your door. No prescription needed"
spam,"You're invited to an exclusive investment seminar. Guaranteed returns!"
spam,"FREE: Claim your complimentary vacation package to the Bahamas today"
spam,"Your Social Security number has been suspended. Call immediately to resolve"
